text,emotion
Das bereitet mir Kopfzerbrechen sehr,Angst
Ich bin bedrückt unglaublich,Traurigkeit
Mir fehlt die Motivation,Traurigkeit
Ich könnte weinen,Traurigkeit
Das macht mir Sorgen sehr,Angst
Das tut weh ziemlich,Traurigkeit
Mir geht es heute schlecht extrem,Traurigkeit
Ich fühle mich unsicher extrem,Angst
Ich arbeite heute im Homeoffice sehr,Neutral
Das erfüllt mich mit Freude unglaublich,Freude
Ich gehe einkaufen sehr,Neutral
Ich könnte vor Freude springen ziemlich,Freude
Ich vermisse meine Freunde extrem,Traurigkeit
Das Dokument wurde gespeichert wirklich,Neutral
Die Lampe ist eingeschaltet unglaublich,Neutral
Der Termin wurde verschoben ziemlich,Neutral
Ich habe die Nase voll,Wut
Das Wetter ist bewölkt ziemlich,Neutral
Ich bin unglücklich ziemlich,Traurigkeit
Das ist eine Frechheit ziemlich,Wut
Ich weiß nicht was passieren wird unglaublich,Angst
Das macht mich zufrieden wirklich,Freude
Ich ärgere mich darüber sehr,Wut
Das bereitet mir Kopfzerbrechen extrem,Angst
Ich bin stinksauer,Wut
Ich könnte ausrasten wirklich,Wut
Ich genieße diesen Moment sehr,Freude
Ich gehe später spazieren ziemlich,Neutral
Ich fahre zur Arbeit sehr,Neutral
Heute habe ich mehrere Termine wirklich,Neutral
Ich bin außer mir vor Wut extrem,Wut
Das erfüllt mich mit Freude extrem,Freude
Mir geht es heute schlecht extrem,Traurigkeit
Was passiert wenn etwas schiefgeht extrem,Angst
Ich ärgere mich darüber,Wut
Mein Team hat gewonnen ziemlich,Freude
Ich fühle mich leer sehr,Traurigkeit
Ich bin ängstlich sehr,Angst
Ich fahre zur Arbeit unglaublich,Neutral
Ich bin stolz auf meine Leistung extrem,Freude
Ich hasse solche Situationen wirklich,Wut
Das ist die beste Nachricht des Jahres wirklich,Freude
Das ist eine Frechheit extrem,Wut
Das Dokument wurde gespeichert extrem,Neutral
Warum passiert so etwas immer wieder wirklich,Wut
Das geht gar nicht sehr,Wut
Ich sitze am Schreibtisch wirklich,Neutral
Ich fühle mich allein unglaublich,Traurigkeit
Mir ist ganz mulmig unglaublich,Angst
Ich trinke einen Kaffee wirklich,Neutral
Ich fühle mich bedroht,Angst
Ich lese ein Buch unglaublich,Neutral
Ich bin richtig verärgert wirklich,Wut
Ich fühle mich bedroht unglaublich,Angst
Ich bin sehr glücklich sehr,Freude
Das macht mich unglaublich froh,Freude
Das macht mich traurig extrem,Traurigkeit
Heute ist ein fantastischer Tag,Freude
Das regt mich unglaublich auf wirklich,Wut
Das Meeting beginnt um zehn Uhr,Neutral
Warum passiert so etwas immer wieder ziemlich,Wut
Ich bin stolz auf meine Leistung unglaublich,Freude
Ich weiß nicht was passieren wird sehr,Angst
Das ist absolut unfair extrem,Wut
Ich fühle mich allein wirklich,Traurigkeit
Alles erscheint sinnlos sehr,Traurigkeit
Ich könnte weinen sehr,Traurigkeit
Das Fenster ist geöffnet extrem,Neutral
Ich könnte vor Freude springen,Freude
Ich weiß nicht was passieren wird ziemlich,Angst
Ich genieße diesen Moment sehr,Freude
Was passiert wenn etwas schiefgeht ziemlich,Angst
Ich habe Angst vor der Zukunft,Angst
Mir fehlt die Motivation extrem,Traurigkeit
Warum passiert so etwas immer wieder unglaublich,Wut
Ich habe die Nase voll sehr,Wut
Ich bin enttäuscht wirklich,Traurigkeit
Das macht mich unglaublich froh ziemlich,Freude
Ich bin ängstlich unglaublich,Angst
Ich bin enttäuscht und wütend ziemlich,Wut
Das tut weh extrem,Traurigkeit
Die Nachricht hat mich begeistert sehr,Freude
Das geht gar nicht sehr,Wut
Die Nachricht hat mich begeistert ziemlich,Freude
Das ist eine Frechheit sehr,Wut
Ich weiß nicht was passieren wird ziemlich,Angst
Der Supermarkt hat geöffnet wirklich,Neutral
Das belastet mich ziemlich,Traurigkeit
Heute fällt mir alles schwer sehr,Traurigkeit
Ich hasse solche Situationen sehr,Wut
Das ist unerträglich ziemlich,Wut
Ich habe ein ungutes Gefühl extrem,Angst
Das bereitet mir Kopfzerbrechen extrem,Angst
Ich bin stinksauer wirklich,Wut
Ich fühle mich einsam extrem,Traurigkeit
Mir ist ganz mulmig unglaublich,Angst
Ich bin unglücklich unglaublich,Traurigkeit
Heute läuft alles perfekt ziemlich,Freude
Die Nachricht hat mich begeistert unglaublich,Freude
Das Meeting beginnt um zehn Uhr unglaublich,Neutral
Das belastet mich unglaublich,Traurigkeit
Das bringt mich auf die Palme unglaublich,Wut
Die Lampe ist eingeschaltet extrem,Neutral
So etwas akzeptiere ich nicht ziemlich,Wut
Ich vermisse meine Freunde extrem,Traurigkeit
Heute bin ich niedergeschlagen unglaublich,Traurigkeit
Ich habe Zweifel ziemlich,Angst
